year,month,transactions,amountspent,base_points_earned,bonus_points_earned,reward_points_earned,cash_back_points_earned,total_points_earned
2019,1,2125770,26510860.69,4282636,6002080,6036275,4248441,10284716
2019,2,2154219,26912263.1,4354397,11061015,9290537,6124875,15415412
2019,3,2707889,32810433.32,5261017,9304222,8487491,6077748,14565239
2019,4,2265105,27553029.47,4423903,4745228,4962697,4206434,9169131
2019,5,2367683,28445953.95,4566399,7493962,7037247,5023114,12060361
2019,6,2976717,35652318.83,5706877,14826572,11592038,8941411,20533449
2019,7,2300663,28243828.08,4519112,5635262,5721746,4432628,10154374
2019,8,2661983,32293659.9,5147808,6041787,6549496,4640099,11189595
2019,9,2422104,29253133.61,4678103,6219883,5822566,5075420,10897986
2019,10,2305762,27367972.94,4384417,9226095,8022677,5587835,13610512
2019,11,2551608,30630052.07,4916338,8052918,7555458,5413798,12969256
2019,12,2539119,32641825.38,5322483,10119265,8674415,6767333,15441748
2020,1,2127050,26742036.08,4332704,5563867,5536148,4360423,9896571
2020,2,2532518,30352958.29,4884147,13710124,11369291,7224980,18594271
2020,3,2396062,35557535.07,5962791,4143559,5438434,4667916,10106350
2020,4,1569828,29515100.27,5174201,2976845,4256249,3894797,8151046
2020,5,2113082,36495070.89,6291314,4204314,5513254,4982374,10495628
2020,6,1938784,30058722.47,5099619,6457261,6345205,5211675,11556880
2020,7,2060993,29780210.05,5010314,5577629,5594426,4993517,10587943
2020,8,2548384,35224537.25,5872031,8154867,7480697,6546201,14026898
2020,9,2061063,28365435.39,4726104,5657712,5347898,5035918,10383816
2020,10,2430759,33603696.45,5601591,9846740,8341528,7106803,15448331
2020,11,2170696,31404037.53,5279360,5965425,5777722,5467063,11244785
2020,12,2169745,32225602.26,5465596,8445341,6834178,7076759,13910937
2021,1,2394149,35936867.99,6066961,7132093,6819433,6379621,13199054
2021,2,1976856,28972796.81,4889351,7445551,6533481,5801421,12334902
2021,3,1998749,28372368.05,4751933,7302027,6274604,5779356,12053960
2021,4,2068714,29078324,4882348,6997181,6174850,5704679,11879529
2021,5,2706403,37339173.04,6219123,8116233,7115116,7220240,14335356
2021,6,2058704,29614995.56,4956038,5180477,5002159,5134356,10136515
2021,7,2338572,32367941.72,5389537,6924133,6293864,6019806,12313670
2021,8,2154488,29952619.59,4972985,5676044,5357478,5291551,10649029
2021,9,1940832,26897985.05,4469524,5661494,5097725,5033293,10131018
2021,10,2389975,33565412.93,5565353,6865787,6379801,6051339,12431140
2021,11,1919841,27330473.39,4564968,5930983,5313155,5182796,10495951
2021,12,2125253,31328823.01,5292852,9475815,7502566,7266101,14768667
